Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Australia,AUS,Oil rents (% of GDP),NY.GDP.PETR.RT.ZS,,,,,,,,,,,0.013743463,0.06442634,0.13455261,0.295521972,1.218877356,1.286235479,1.318434372,1.484033746,1.329096272,2.834327661,2.69934308,1.97262574,1.11484071,1.602357106,1.71741281,2.106043696,0.879513022,1.323180461,0.795143364,0.81832127,1.253191008,0.642485899,0.696940192,0.666683499,0.618031903,0.620709921,0.730483951,0.61156964,0.312127643,0.522154061,1.298081147,0.930361807,0.8811255,0.708692593,0.666790105,0.934405067,0.989326344,0.929865251,1.068493928,0.637114046,0.775822306,0.833640868,0.716303498,0.53674684,0.534585681,0.20670982,0.172258565,0.210423774,0.315085296,,
Austria,AUT,Oil rents (% of GDP),NY.GDP.PETR.RT.ZS,,,,,,,,,,,0.012186689,0.015237253,0.019461384,0.035718003,0.227320749,0.174518296,0.171058576,0.143392991,0.113008564,0.217478477,0.229691325,0.181764271,0.103800455,0.145740568,0.150056573,0.144817642,0.041517643,0.052463914,0.040081029,0.064773451,0.068677859,0.035651409,0.030601185,0.028844768,0.024246165,0.024465273,0.032568717,0.025136326,0.006621141,0.021426969,0.055364458,0.041050999,0.039523049,0.036078496,0.04386135,0.05526779,0.062944215,0.059028599,0.075880832,0.04645871,0.064100432,0.085204032,0.086941365,0.075263324,0.069364473,0.032460639,0.023329694,0.031454502,0.043067914,,
Azerbaijan,AZE,Oil rents (% of GDP),NY.GDP.PETR.RT.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.5034407,6.630364441,11.02007207,12.56573181,12.66268227,14.57718976,19.69120422,12.39619243,3.617856036,15.23187906,31.0990161,22.46129328,22.35225797,22.9158088,26.23299472,35.94679494,39.5580187,36.3300224,37.03032371,24.54244325,29.30360315,31.7589235,27.79865986,23.6854793,20.46458766,12.0366039,13.17439241,17.81643199,25.27826101,,
Burundi,BDI,Oil rents (% of GDP),NY.GDP.PETR.RT.ZS,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
Belgium,BEL,Oil rents (% of GDP),NY.GDP.PETR.RT.ZS,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
Benin,BEN,Oil rents (% of GDP),NY.GDP.PETR.RT.ZS,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,1.228521909,0.485787703,1.17106464,3.154664134,3.602519153,0.963649798,1.668693065,0.892555082,1.324819284,1.349109089,0.699040844,1.329364596,0.926848385,1.079121285,0.474582391,0.387167157,0.219223609,0.056769054,0.08434774,0.131273205,0.084892628,0.086033334,0.035515212,0,0,0,0,0,0,0,0,0,0,0,0.057611554,0.053862533,0.096698547,0.130674288,,
Burkina Faso,BFA,Oil rents (% of GDP),NY.GDP.PETR.RT.ZS,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
Bangladesh,BGD,Oil rents (% of GDP),NY.GDP.PETR.RT.ZS,,,,,,,,,,,0.000771791,0.001009079,0.001028344,0.00110682,0.002246226,0.002603876,0.00557301,0.005818806,0.003164104,0.004385967,0.002985699,0.001981727,0.001510674,0.00976617,0.015783852,0.015772635,0.008281303,0.010580732,0.007866984,0.01072159,0.02115586,0.011932429,0.014617538,0.014602187,0.018392798,0.014393316,0.018779894,0.018769173,0.009032632,0.015958173,0.031285038,0.05142651,0.083034805,0.073894267,0.088622302,0.086646527,0.105309927,0.150246828,0.209688748,0.085939462,0.109119803,0.146357501,0.163757376,0.134212239,0.094219331,0.02924977,0.013968103,0.017392896,0.026173792,,
Bulgaria,BGR,Oil rents (% of GDP),NY.GDP.PETR.RT.ZS,,,,,,,,,,,,,,,,,,,,,0.101652106,0.078031115,0.044106944,0.076045747,0.100724298,0.159433115,0.055315005,0.066095637,0.045178939,0.084585934,0.099654367,0.026403192,0.026396853,0.02221207,0.024919765,0.013350141,0.027162137,0.014822201,0.003694177,0.014643685,0.070058735,0.018210897,0.020240515,0.015771638,0.028066812,0.035729612,0.037296377,0.031569611,0.036173296,0.019968383,0.029706255,0.039634917,0.040804712,0.035707864,0.03152327,0.01043978,0.006722145,0.008182274,0.010367553,,
Bahrain,BHR,Oil rents (% of GDP),NY.GDP.PETR.RT.ZS,,,,,,,,,,,,,,,,,,,,,18.53105121,13.90940517,10.10165296,9.613240837,8.801597769,9.301549044,5.838692641,6.934639081,5.387440589,7.240141172,8.61826588,4.337752129,4.304691723,4.115660622,3.502009807,3.609984853,3.69005149,3.657803771,2.229208489,3.083925478,3.90334745,3.135664367,2.970800849,3.077661347,3.374639418,3.880900321,3.995045818,3.651224893,4.162655763,2.72285813,3.330977988,4.313369865,4.759767858,5.048247077,4.575324836,2.444977756,1.811215758,2.013304751,2.31334993,,
"Bahamas, The",BHS,Oil rents (% of GDP),NY.GDP.PETR.RT.ZS,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
Bosnia and Herzegovina,BIH,Oil rents (% of GDP),NY.GDP.PETR.RT.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
Belarus,BLR,Oil rents (% of GDP),NY.GDP.PETR.RT.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.194201363,0.563480239,0.603989565,0.612799612,0.608520336,0.700103523,0.876864234,0.716658876,0.167510894,0.763296352,1.689417582,1.279044143,1.132775209,1.095995724,1.148350516,1.232355359,1.210865428,1.077037335,1.12542137,0.672110978,0.893253172,1.250028938,1.12604992,0.874066826,0.743191445,0.42067441,0.384440753,0.512836729,0.559725988,,
Belize,BLZ,Oil rents (% of GDP),NY.GDP.PETR.RT.ZS,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.042296745,2.881129885,3.778678771,5.75407427,3.710625947,4.809867583,6.491935106,4.422376605,3.100144016,2.136587604,0.664418576,0.411530016,0.57234849,0.750505925,,
Bermuda,BMU,Oil rents (% of GDP),NY.GDP.PETR.RT.ZS,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
Bolivia,BOL,Oil rents (% of GDP),NY.GDP.PETR.RT.ZS,,,,,,,,,,,0.621751122,1.091482354,1.306970993,2.308105546,6.946049052,5.175501158,4.964172248,3.041563914,2.688193792,4.965594862,5.406051749,3.087820424,2.110820382,2.884113922,2.280902102,2.404878008,1.287540863,1.998776542,1.428466072,2.161980819,3.005826899,1.657887682,1.62044518,1.631070776,1.652479071,1.779950263,2.384453235,1.804822464,1.00298028,1.563177658,2.771203949,2.35830751,2.640201534,3.327564496,4.799263566,7.226796548,6.832264694,6.196379637,6.32500013,2.608695184,3.404624809,4.404080031,4.409060832,4.222516261,3.783283188,1.176927031,0.778382814,1.114762827,1.534543759,,
Brazil,BRA,Oil rents (% of GDP),NY.GDP.PETR.RT.ZS,,,,,,,,,,,0.084965805,0.109442721,0.100645253,0.123051111,0.502510318,0.413599903,0.342683552,0.241853367,0.232256473,0.544411762,0.721188902,0.6332031,0.455443657,1.078203887,1.423024658,1.523513003,0.57092141,0.819804351,0.533000545,0.659308877,0.889306535,0.386664176,0.623972769,0.565375116,0.423247571,0.349174519,0.479607611,0.419354015,0.253401678,0.752284497,1.398809384,1.247453596,1.652730117,1.815521661,2.01183514,2.496882845,2.491938289,2.066063183,2.415857082,1.306203466,1.492669581,1.959285297,1.997223746,1.825257526,1.838616659,1.071437119,0.819626883,1.23883808,2.070151557,,
Barbados,BRB,Oil rents (% of GDP),NY.GDP.PETR.RT.ZS,,,,,,,,,,,,,,,1.453332915,1.174780135,1.278399421,0.819859943,0.799273558,1.614141335,1.233577355,0.809209088,0.42449042,0.524072991,0.929175822,0.85376646,0.345626204,0.340317744,0.225883027,0.258819985,0.40465136,0.220961772,0.276497677,0.237180399,0.201455717,0.22542862,0.217664666,0.168859423,0.12947589,0.261857287,0.370782683,0.22392566,0.186686526,0.212154986,0.263204534,0.357213506,0.394942136,0.390568334,0.50015156,0.191327275,0.346736269,0.502045999,0.478922111,0.43175772,0.374616901,0.09799543,0.04752588,0.051796423,0.053021101,,
Brunei Darussalam,BRN,Oil rents (% of GDP),NY.GDP.PETR.RT.ZS,,,,,,,,,,,2.453196107,6.843014631,16.02428849,27.42871825,55.17291492,51.80570065,53.57842393,51.50892752,48.01591607,,50.72687199,33.01609833,21.0851199,28.73186478,28.53316104,28.66429481,21.66973287,23.07862855,17.73372673,22.09782439,28.85885761,16.67990561,16.6917691,16.59463716,15.17970466,13.96470967,15.54387357,13.91444164,8.869886406,14.89482605,24.02313293,18.67553364,15.49617145,16.72890997,21.20206982,27.9710882,29.29120531,21.61489699,22.74030942,15.27660311,17.76837224,23.9050761,20.89175077,17.06914139,14.8606266,7.7316106,6.878404648,8.830198213,11.68516976,,
Bhutan,BTN,Oil rents (% of GDP),NY.GDP.PETR.RT.ZS,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
Botswana,BWA,Oil rents (% of GDP),NY.GDP.PETR.RT.ZS,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
Central African Republic,CAF,Oil rents (% of GDP),NY.GDP.PETR.RT.ZS,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
Canada,CAN,Oil rents (% of GDP),NY.GDP.PETR.RT.ZS,,,,,,,,,,,0.651772172,0.687820337,0.731661168,0.907535061,2.575704584,2.322041816,2.016606889,2.267746898,2.172885286,4.562705986,5.278678994,3.426948739,2.062647288,2.593067273,2.615652231,2.499869179,1.083394798,1.560642676,0.979817913,1.233664518,1.604158652,1.06836958,1.184188588,1.115783876,1.003029414,1.081456873,1.363293322,0.875066356,0.372647313,0.795908734,1.490511706,0.8157264,0.894331651,1.013955256,1.364406736,1.666479948,1.548433587,1.575652994,2.613180582,1.422049819,1.46919263,2.027121719,1.23186844,1.470009529,1.237379835,0.038191728,0.471337475,0.893714316,1.764450401,,
Central Europe and the Baltics,CEB,Oil rents (% of GDP),NY.GDP.PETR.RT.ZS,,,,,,,,,,,,,,,,,,,,,0.101652106,0.078031115,0.044106944,0.076045747,0.100724298,0.159433115,0.055315005,0.937432539,0.719060618,1.124013102,0.446020589,0.202815221,0.198196637,0.182696208,0.146987449,0.145047118,0.184428743,0.14348119,0.032077804,0.116504815,0.265513779,0.180286092,0.168499124,0.160746395,0.177784664,0.207955644,0.207685344,0.171038753,0.20078088,0.125333291,0.173269872,0.234351243,0.236580551,0.212278467,0.179550479,0.083815413,0.064189702,0.085964133,0.123105414,,
Switzerland,CHE,Oil rents (% of GDP),NY.GDP.PETR.RT.ZS,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
Channel Islands,CHI,Oil rents (% of GDP),NY.GDP.PETR.RT.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chile,CHL,Oil rents (% of GDP),NY.GDP.PETR.RT.ZS,,,,,,,,,,,0.081220477,0.082938256,0.089518196,0.093504763,0.440096849,0.769615726,0.575609802,0.296797015,0.245434017,0.58577013,0.919413041,0.814322178,0.720898991,1.07790861,1.051338746,1.036541698,0.402887355,0.519374878,0.246193482,0.285402075,0.318921736,0.141959121,0.103125277,0.087444502,0.07008623,0.041907426,0.045458195,0.026792216,0.012861809,0.024399076,0.046831238,0.037208612,0.033799202,0.029966366,0.029931159,0.033903217,0.027793068,0.022405878,0.030429515,0.021955422,0.028974202,0.049697997,0.049487295,0.052756237,0.049999271,0.015163399,0.009034367,0.011370357,0.014341412,,
China,CHN,Oil rents (% of GDP),NY.GDP.PETR.RT.ZS,,,,,,,,,,,0.02142134,0.082760875,0.191572384,0.399068333,2.698414873,3.06064629,3.978677041,4.220716286,5.420378534,11.1874275,11.79385176,9.165836072,5.830370876,6.287729101,5.948279621,5.342658262,2.683088741,4.507015744,3.056309681,3.96701971,5.206209146,2.828497961,2.81731862,2.703217941,1.928738217,1.661464736,1.868919289,1.515217525,0.718136434,1.104190081,2.010278073,1.315390667,1.2651792,1.322359979,1.685174595,2.260074087,2.272395101,1.861197533,2.032740937,0.949604897,1.242734045,1.525071538,1.328698888,1.112282516,0.898624734,0.337199481,0.255505191,0.331974385,0.431876263,,
Cote d'Ivoire,CIV,Oil rents (% of GDP),NY.GDP.PETR.RT.ZS,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0.108588589,0.335494982,0.33153305,0.956296683,1.383249052,1.358672251,0.331680834,0.584778913,0.293799653,0.105921744,0.111289619,0.039647805,0.210586265,0.212942229,0.235238405,0.214996192,0.597722211,0.470554157,0.114991779,0.243177019,0.451920766,0.239399424,0.543942634,0.652351471,1.318755593,3.150493942,5.659830313,4.287029138,4.906384959,2.272252498,2.905778754,3.601147292,2.872921391,1.9226136,1.075512142,0.395315219,0.402698687,0.897904723,1.073532827,,
Cameroon,CMR,Oil rents (% of GDP),NY.GDP.PETR.RT.ZS,,,,,,,,,,,,0,0,0,0,0,0,0.074133918,0.872320025,4.575978919,6.202384884,4.202676806,2.499518518,3.944771316,8.197479675,10.69056423,2.68227544,5.267422812,3.773917149,7.592327822,9.544099866,4.279978417,4.955864365,2.975383523,2.976701128,3.634102578,4.695087699,4.378069951,1.582448584,2.768942665,8.212341502,4.129326043,3.574292395,2.835781596,4.321528081,6.124916517,7.957593829,7.675510853,8.91212604,3.48611385,4.856348191,5.808925678,5.885793663,5.115934842,4.365785791,2.143778766,1.693709765,2.533212452,3.137319248,,
"Congo, Dem. Rep.",COD,Oil rents (% of GDP),NY.GDP.PETR.RT.ZS,,,,,,,,,,,,0,0,0,0,0.007514758,0.380952516,0.58174477,0.463757276,1.035992969,1.041620674,0.588481237,0.282938474,0.728332369,1.929246147,2.159574556,0.644456721,1.518769633,0.95070187,1.488146604,2.065149325,1.205154839,1.271408001,0.787301775,1.487623542,1.824365151,2.321410089,1.738817239,0.574524761,1.559885109,0.874916527,1.482611027,1.167840753,1.352565092,1.635159258,2.204059643,2.226943026,2.697162659,3.303247516,1.820937875,2.385518679,2.958607084,2.530827658,2.05668252,1.566173464,0.39880676,0.317684389,0.565558397,0.626901822,,
"Congo, Rep.",COG,Oil rents (% of GDP),NY.GDP.PETR.RT.ZS,,,,,,,,,,,0,0.002001007,0,0.892986432,22.39036032,12.96632889,15.41126339,15.51900014,16.90052491,35.75124054,28.55168966,14.76105422,6.974081444,15.8113277,24.96795178,24.69226665,10.07452095,19.91805338,17.84769557,32.27729051,36.88917097,19.95958383,22.99068906,35.14247245,29.0233497,29.23907705,36.15164391,37.11479746,17.02604546,33.7480598,53.20513188,37.44398594,33.75781707,28.22736624,39.37682381,51.69064998,56.26930504,47.59574958,51.71928531,34.01263113,46.95439222,55.14566764,51.81073331,40.27845767,35.25598224,18.39280107,15.1570883,34.00222672,49.96261309,,
Colombia,COL,Oil rents (% of GDP),NY.GDP.PETR.RT.ZS,,,,,,,,,,,0.655753294,0.854189772,0.798144501,1.030451913,4.088608148,3.426679473,2.951241537,1.853756622,1.625560588,3.257898974,3.461062655,2.881254178,1.814952468,2.540789417,2.735337548,3.045168389,2.314785839,4.54943557,3.039080566,4.812173165,5.969726778,3.195925398,2.996154291,2.625210539,1.954064033,2.430196458,3.282899705,2.68288132,1.697237553,3.777424405,5.091856707,3.302341702,3.394317376,3.890988507,4.102740197,4.915604794,5.266093129,4.248201906,5.465096498,3.202989159,4.380343358,6.724807349,6.075099589,5.752985427,5.245392944,2.712069872,1.82797992,2.658130186,3.962759255,,
Comoros,COM,Oil rents (% of GDP),NY.GDP.PETR.RT.ZS,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
Cabo Verde,CPV,Oil rents (% of GDP),NY.GDP.PETR.RT.ZS,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
Costa Rica,CRI,Oil rents (% of GDP),NY.GDP.PETR.RT.ZS,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
Caribbean small states,CSS,Oil rents (% of GDP),NY.GDP.PETR.RT.ZS,,,,,,,,,,,,,1.681369673,2.980822019,11.9666442,11.01277652,11.33548433,8.853817069,9.968516256,20.60499424,14.65322997,12.6882694,5.427228287,6.242301464,6.757113393,6.779962259,3.186341022,4.405536417,3.122191535,4.433910708,5.609495413,3.242966673,3.255599397,2.863900922,2.44921454,2.435078944,2.942234604,2.092652325,1.010898461,1.737035329,2.951974039,1.942724837,2.102852403,2.526425374,2.840300756,4.38638662,4.585171378,3.738310626,4.323956044,2.391826668,2.95084595,3.996354092,3.372207816,3.090874532,2.730456867,1.061257008,0.755000076,1.213171532,1.611558398,,
Cuba,CUB,Oil rents (% of GDP),NY.GDP.PETR.RT.ZS,,,,,,,,,,,0.006895567,0.017433084,0.022725799,0.037426956,0.203115261,0.198524047,0.203192786,0.166559986,0.145994159,0.336783739,0.234008653,0.310883474,0.235614483,0.349550993,0.39062201,0.446584086,0.198882037,0.304027854,0.173680357,0.261277212,0.325072361,0.213065761,0.2979113,0.334816385,0.29814672,0.328530623,0.612000302,0.523703532,0.275970586,0.534535544,0.996639166,0.846754405,0.80989104,1.045223685,1.378729428,1.667717887,1.571107855,1.457787197,1.936528034,0.925616532,1.323311445,1.912791535,1.753221292,1.567740042,1.333783483,0.439099371,0.225040249,0.267932622,0.265007087,,
Curacao,CUW,Oil rents (% of GDP),NY.GDP.PETR.RT.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,,
Cayman Islands,CYM,Oil rents (% of GDP),NY.GDP.PETR.RT.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,,
Cyprus,CYP,Oil rents (% of GDP),NY.GDP.PETR.RT.ZS,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
Czech Republic,CZE,Oil rents (% of GDP),NY.GDP.PETR.RT.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.012815553,0.01127707,0.012300115,0.013767905,0.012394991,0.012539623,0.016249098,0.014834048,0.003802068,0.01440329,0.033237505,0.023374771,0.029578426,0.03449185,0.037829507,0.049319064,0.044002096,0.036569255,0.04060043,0.022524141,0.025511866,0.033185929,0.033319986,0.029522133,0.026079955,0.010419261,0.007269836,0.009346613,0.013598307,,
Germany,DEU,Oil rents (% of GDP),NY.GDP.PETR.RT.ZS,,,,,,,,,,,0.002674948,0.003540968,0.004393077,0.00798728,0.053412683,0.041705958,0.042150929,0.038535577,0.029867731,0.058070533,0.066466873,0.058511555,0.031731976,0.045592759,0.050084307,0.05198384,0.014652733,0.018138292,0.013253145,0.020607101,0.021362481,0.008836206,0.007981564,0.007451868,0.006135614,0.005809476,0.008241265,0.007128536,0.001850689,0.006389416,0.019077677,0.014542559,0.015508578,0.016024861,0.018160147,0.026191154,0.029185601,0.027634434,0.032061129,0.017041632,0.022013519,0.032164983,0.032673748,0.028348235,0.022653124,0.010924469,0.008241503,0.011300739,0.015803979,,
Djibouti,DJI,Oil rents (% of GDP),NY.GDP.PETR.RT.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
Dominica,DMA,Oil rents (% of GDP),NY.GDP.PETR.RT.ZS,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
Denmark,DNK,Oil rents (% of GDP),NY.GDP.PETR.RT.ZS,,,,,,,,,,,,0,0.000719862,0.00202556,0.009935032,0.01411161,0.017014053,0.042391888,0.029924841,0.063277118,0.055142526,0.12637451,0.159950861,0.300979264,0.35047503,0.433917231,0.156649374,0.264322395,0.192290305,0.36981899,0.448510266,0.245568148,0.265090132,0.292093434,0.270110045,0.25563451,0.394956229,0.369847666,0.094095606,0.466993508,1.29067448,0.903029294,0.939797732,0.904044735,1.131670402,1.51273194,1.541291296,1.354770628,1.597528457,0.841279281,1.135987712,1.460385273,1.358858586,1.015435036,0.847678964,0.389160749,0.270988808,0.384000341,0.475181254,,
